n,a_n,parity,is_odd_term,last_checked_previous_term
965,3500,even,False,25
966,3506,even,False,25
967,3512,even,False,25
968,3518,even,False,25
969,3520,even,False,25
970,3524,even,False,25
971,3530,even,False,25
972,3536,even,False,25
973,3542,even,False,25
974,3544,even,False,25
975,3548,even,False,25
976,3550,even,False,25
977,3552,even,False,25
978,3554,even,False,25
979,3560,even,False,25
980,3562,even,False,25
981,3564,even,False,25
982,3566,even,False,25
983,3572,even,False,25
984,3574,even,False,25
985,3576,even,False,25
986,3578,even,False,25
987,3584,even,False,25
988,3586,even,False,25
989,3590,even,False,25
990,3594,even,False,25
991,3596,even,False,25
992,3600,even,False,25
993,3602,even,False,25
994,3604,even,False,25
995,3608,even,False,25
996,3610,even,False,25
997,3614,even,False,25
998,3620,even,False,25
999,3624,even,False,25
1000,3626,even,False,25
1001,3628,even,False,25
1002,3632,even,False,25
1003,3638,even,False,25
1004,3640,even,False,25
1005,3644,even,False,25
1006,3650,even,False,25
1007,3654,even,False,25
1008,3656,even,False,25
1009,3660,even,False,25
1010,3662,even,False,25
1011,3664,even,False,25
1012,3668,even,False,25
1013,3674,even,False,25
1014,3678,even,False,25
1015,3680,even,False,25
1016,3682,even,False,25
1017,3686,even,False,25
1018,3688,even,False,25
1019,3692,even,False,25
1020,3698,even,False,25
1021,3704,even,False,25
1022,3706,even,False,25
1023,3710,even,False,25
1024,3712,even,False,25
1025,3716,even,False,25
1026,3720,even,False,25
1027,3722,even,False,25
1028,3724,even,False,25
1029,3728,even,False,25
1030,3730,even,False,25
1031,3734,even,False,25
1032,3740,even,False,25
1033,3746,even,False,25
1034,3748,even,False,25
1035,3750,even,False,25
1036,3752,even,False,25
1037,3756,even,False,25
1038,3758,even,False,25
1039,3762,even,False,25
1040,3764,even,False,25
1041,3770,even,False,25
1042,3774,even,False,25
1043,3776,even,False,25
1044,3780,even,False,25
1045,3782,even,False,25
1046,3784,even,False,25
1047,3786,even,False,25
1048,3788,even,False,25
1049,3790,even,False,25
1050,3794,even,False,25
1051,3800,even,False,25
1052,3804,even,False,25
1053,3806,even,False,25
1054,3810,even,False,25
1055,3812,even,False,25
1056,3814,even,False,25
1057,3816,even,False,25
1058,3818,even,False,25
1059,3824,even,False,25
1060,3830,even,False,25
1061,3834,even,False,25
1062,3836,even,False,25
1063,3840,even,False,25
1064,3842,even,False,25
1065,3844,even,False,25
1066,3848,even,False,25
1067,3854,even,False,25
1068,3858,even,False,25
1069,3860,even,False,25
1070,3866,even,False,25
1071,3868,even,False,25
1072,3870,even,False,25
